
2024/12/14 (12:21:28) | ===> btop++ v.1.4.0
2024/12/14 (12:21:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (18:05:20) | ===> btop++ v.1.4.0
2024/12/14 (18:05:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (19:30:48) | ===> btop++ v.1.4.0
2024/12/14 (19:30:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (12:21:13) | ===> btop++ v.1.4.0
2024/12/31 (12:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (16:50:02) | ===> btop++ v.1.4.0
2024/12/31 (16:50:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (10:06:10) | ===> btop++ v.1.4.0
2025/01/02 (10:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (10:41:01) | ===> btop++ v.1.4.0
2025/01/07 (10:41:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (12:26:55) | ===> btop++ v.1.4.0
2025/02/10 (12:26:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (14:34:12) | ===> btop++ v.1.4.0
2025/02/17 (14:34:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (09:19:41) | ===> btop++ v.1.4.0
2025/02/24 (09:19:41) | WARNING: Intel GPU: Failed to initialize PMU
